Sepal length,Sepal width,Petal length,Petal width,Species,Time
5.1,3.5,1.4,0.2,setosa,0
4.9,3,1.4,0.2,setosa,1
4.7,3.2,1.3,0.2,setosa,2
4.6,3.1,1.5,0.2,setosa,3
5,3.6,1.4,0.2,setosa,4
5.4,3.9,1.7,0.4,setosa,5
4.6,3.4,1.4,0.3,setosa,6
5,3.4,1.5,0.2,setosa,7
4.4,2.9,1.4,0.2,setosa,8
4.9,3.1,1.5,0.1,setosa,9
5.4,3.7,1.5,0.2,setosa,10
4.8,3.4,1.6,0.2,setosa,11
4.8,3,1.4,0.1,setosa,12
4.3,3,1.1,0.1,setosa,13
5.8,4,1.2,0.2,setosa,14
5.7,4.4,1.5,0.4,setosa,15
5.4,3.9,1.3,0.4,setosa,16
5.1,3.5,1.4,0.3,setosa,17
5.7,3.8,1.7,0.3,setosa,18
5.1,3.8,1.5,0.3,setosa,19
5.4,3.4,1.7,0.2,setosa,20
5.1,3.7,1.5,0.4,setosa,21
4.6,3.6,1,0.2,setosa,22
5.1,3.3,1.7,0.5,setosa,23
4.8,3.4,1.9,0.2,setosa,24
5,3,1.6,0.2,setosa,25
5,3.4,1.6,0.4,setosa,26
5.2,3.5,1.5,0.2,setosa,27
5.2,3.4,1.4,0.2,setosa,28
4.7,3.2,1.6,0.2,setosa,29
4.8,3.1,1.6,0.2,setosa,30
5.4,3.4,1.5,0.4,setosa,31
7,3.2,4.7,1.4,versicolor,32
6.4,3.2,4.5,1.5,versicolor,33
6.9,3.1,4.9,1.5,versicolor,34
5.5,2.3,4,1.3,versicolor,35
6.5,2.8,4.6,1.5,versicolor,36
5.7,2.8,4.5,1.3,versicolor,37
6.3,3.3,4.7,1.6,versicolor,38
4.9,2.4,3.3,1,versicolor,39
6.6,2.9,4.6,1.3,versicolor,40
5.2,2.7,3.9,1.4,versicolor,41
5,2,3.5,1,versicolor,42
5.9,3,4.2,1.5,versicolor,43
6,2.2,4,1,versicolor,44
6.1,2.9,4.7,1.4,versicolor,45
5.6,2.9,3.6,1.3,versicolor,46
6.7,3.1,4.4,1.4,versicolor,47
5.6,3,4.5,1.5,versicolor,48
5.8,2.7,4.1,1,versicolor,49
6.2,2.2,4.5,1.5,versicolor,50
5.6,2.5,3.9,1.1,versicolor,51
5.9,3.2,4.8,1.8,versicolor,52
6.1,2.8,4,1.3,versicolor,53
6.3,2.5,4.9,1.5,versicolor,54
6.1,2.8,4.7,1.2,versicolor,55
6.4,2.9,4.3,1.3,versicolor,56
6.6,3,4.4,1.4,versicolor,57
6.8,2.8,4.8,1.4,versicolor,58
6.7,3,5,1.7,versicolor,59
6,2.9,4.5,1.5,versicolor,60
5.7,2.6,3.5,1,versicolor,61
5.5,2.4,3.8,1.1,versicolor,62
5.5,2.4,3.7,1,versicolor,63
5.8,2.7,3.9,1.2,versicolor,64
6,2.7,5.1,1.6,versicolor,65
6.3,3.3,6,2.5,virginica,66
5.8,2.7,5.1,1.9,virginica,67
7.1,3,5.9,2.1,virginica,68
6.3,2.9,5.6,1.8,virginica,69
6.5,3,5.8,2.2,virginica,70
7.6,3,6.6,2.1,virginica,71
4.9,2.5,4.5,1.7,virginica,72
7.3,2.9,6.3,1.8,virginica,73
6.7,2.5,5.8,1.8,virginica,74
7.2,3.6,6.1,2.5,virginica,75
6.5,3.2,5.1,2,virginica,76
6.4,2.7,5.3,1.9,virginica,77
6.8,3,5.5,2.1,virginica,78
5.7,2.5,5,2,virginica,79
5.8,2.8,5.1,2.4,virginica,80
6.4,3.2,5.3,2.3,virginica,81
6.5,3,5.5,1.8,virginica,82
7.7,3.8,6.7,2.2,virginica,83
7.7,2.6,6.9,2.3,virginica,84
6,2.2,5,1.5,virginica,85
6.9,3.2,5.7,2.3,virginica,86
5.6,2.8,4.9,2,virginica,87
7.7,2.8,6.7,2,virginica,88
6.3,2.7,4.9,1.8,virginica,89
6.7,3.3,5.7,2.1,virginica,90
7.2,3.2,6,1.8,virginica,91
6.2,2.8,4.8,1.8,virginica,92
6.1,3,4.9,1.8,virginica,93
6.4,2.8,5.6,2.1,virginica,94
7.2,3,5.8,1.6,virginica,95
7.4,2.8,6.1,1.9,virginica,96
7.9,3.8,6.4,2,virginica,97
6.4,2.8,5.6,2.2,virginica,98
6.3,2.8,5.1,1.5,virginica,99
